ID,SYMBOL
887,ANKRD26P4
888,ANKRD27
889,ANKRD28
890,ANKRD29
891,ANKRD30A
892,ANKRD30B
893,ANKRD30BL
894,ANKRD30BP1
895,ANKRD30BP2
896,ANKRD31
897,SLF1
898,ANKRD33
899,ANKRD33B
900,ANKRD34A
901,ANKRD34B
902,ANKRD34C
903,ANKRD34C-AS1
904,ANKRD35
905,ANKRD36BP1
906,ANKRD36BP2
907,ANKRD36C
908,ANKRD36P1
909,ANKRD37
910,ANKRD39
911,ANKRD40
912,ANKRD42
913,ANKRD44
914,ANKRD44-IT1
915,ANKRD45
916,ANKRD46
917,ANKRD49
918,ANKRD50
919,ANKRD52
920,ANKRD53
921,ANKRD54
922,ANKRD54P1
923,ANKRD55
924,ANKRD6
925,ANKRD60
926,ANKRD61
927,ANKRD62
928,ANKRD62P1-PARP4P3
929,ANKRD63
930,ANKRD65
931,ANKRD66
932,ANKRD7
933,ANKRD9
934,ANKS1A
935,ANKS1B
936,ANKS3
937,ANKS6
938,ANKUB1
939,ANKZF1
940,ANLN
941,ANO1
942,LINC02584
943,ANO10
944,ANO2
945,ANO3
946,ANO5
947,ANO6
948,ANO7
949,ANO8
950,ANO9
951,ANP32A
952,ANP32AP1
953,ANP32B
954,ANP32BP1
955,ANP32BP2
956,ANP32BP3
957,ANP32CP
958,ANP32D
959,ANP32E
960,ANPEP
961,ANTXR1
962,ANTXR2
963,ANTXRL
964,ANTXRLP1
965,ANXA1
966,ANXA10
967,ANXA11
968,ANXA13
969,ANXA2
970,ANXA2P1
971,ANXA2P2
972,ANXA2P3
973,ANXA2R
974,ANXA3
975,ANXA4
976,ANXA5
977,ANXA6
978,ANXA7
979,ANXA8
980,ANXA8L1
981,ANXA9
982,AOAH
983,AOAH-IT1
984,AOC1
985,AOC2
986,AOC3
987,AOC4P
988,AOX1
989,AOX2P
990,AP1AR
991,AP1B1
992,AP1B1P2
993,AP1G1
994,AP1G2
995,AP1M1
996,AP1M2
997,AP1S1
998,AP1S2
999,AP1S3
1000,AP2A1
1001,AP2B1
1002,AP2M1
1003,AP2S1
1004,AP3B1
1005,AP3B2
1006,AP3D1
1007,AP3M1
1008,AP3M2
1009,AP3S1
1010,AP3S2
1011,AP4B1
1012,AP4B1-AS1
1013,AP4E1
1014,AP4M1
1015,AP4S1
1016,AP5B1
1017,AP5M1
1018,AP5S1
1019,AP5Z1
1020,APAF1
1021,APBA3
1022,APBB1
1023,APBB1IP
1024,APBB2
1025,APBB3
1026,APC
1027,APC2
1028,APCDD1
1029,APCDD1L
1030,APCDD1L-DT
1031,APCS
1032,APEH
1033,APELA
1034,APEX2
1035,APH1A
1036,APH1B
1037,API5
1038,API5P1
1039,API5P2
1040,APIP
1041,CENPS
1042,CENPS-CORT
1043,APLF
1044,APLN
1045,APLNR
1046,APLP1
1047,APLP2
1048,APMAP
1049,APOA1
1050,APOA1-AS
1051,NAXE
1052,APOA2
1053,APOA4
1054,APOA5
1055,APOBEC1
1056,APOBEC2
1057,APOBEC3B
1058,APOBEC3B-AS1
1059,APOBEC3C
1060,APOBEC3D
1061,APOBEC3F
1062,APOBEC3G
1063,APOBEC3H
1064,APOBEC4
1065,APOBR
1066,APOC1
1067,APOC1P1
1068,APOC2
1069,APOC3
1070,APOC4
1071,APOC4-APOC2
1072,APOD
1073,APOE
1074,APOF
1075,APOH
1076,APOL1
1077,APOL2
1078,APOL3
1079,APOL4
1080,APOL6
1081,APOLD1
1082,APOO
1083,APOOL
1084,APOOP1
1085,APOOP2
1086,APOOP3
1087,APOOP4
1088,APOOP5
1089,COA8
1090,APP
